Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M4

레벨업 · 룬 70 button=[P: (236.0, 662.0), S: (180.0, 34.0)] chip=[P: (364.0, 665.0), S: (45.0, 28.0)] label=[P: (290.0, 665.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 282.0), S: (180.0, 34.0)] chip=[P: (152.0, 285.0), S: (45.0, 28.0)] label=[P: (78.0, 285.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 282.0), S: (180.0, 34.0)] chip=[P: (344.0, 285.0), S: (65.0, 28.0)] label=[P: (310.0, 285.0), S: (32.0, 28.0)] min=(65.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 472.0), S: (180.0, 34.0)] chip=[P: (152.0, 475.0), S: (45.0, 28.0)] label=[P: (78.0, 475.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 472.0), S: (180.0, 34.0)] chip=[P: (364.0, 475.0), S: (45.0, 28.0)] label=[P: (290.0, 475.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 662.0), S: (180.0, 34.0)] chip=[P: (152.0, 665.0), S: (45.0, 28.0)] label=[P: (78.0, 665.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (152.0, 276.0), S: (45.0, 28.0)] label=[P: (78.0, 276.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 65620 button=[P: (236.0, 273.0), S: (180.0, 34.0)] chip=[P: (344.0, 276.0), S: (65.0, 28.0)] label=[P: (310.0, 276.0), S: (32.0, 28.0)] min=(65.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (152.0, 466.0), S: (45.0, 28.0)] label=[P: (78.0, 466.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (364.0, 466.0), S: (45.0, 28.0)] label=[P: (290.0, 466.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (152.0, 656.0), S: (45.0, 28.0)] label=[P: (78.0, 656.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 14 button=[P: (24.0, 273.0), S: (180.0, 34.0)] chip=[P: (152.0, 276.0), S: (45.0, 28.0)] label=[P: (78.0, 276.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (24.0, 463.0), S: (180.0, 34.0)] chip=[P: (152.0, 466.0), S: (45.0, 28.0)] label=[P: (78.0, 466.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 55 button=[P: (236.0, 463.0), S: (180.0, 34.0)] chip=[P: (364.0, 466.0), S: (45.0, 28.0)] label=[P: (290.0, 466.0), S: (72.0, 28.0)] min=(45.0, 28.0)
레벨업 · 룬 60 button=[P: (24.0, 653.0), S: (180.0, 34.0)] chip=[P: (152.0, 656.0), S: (45.0, 28.0)] label=[P: (78.0, 656.0), S: (72.0, 28.0)] min=(45.0, 28.0)
PASS cost layout: 320/440, combat/economy, 65620, insufficient/maximum, rune-box purchase input
